R,1,4.15,1.85,0.48,15,1129205201,sim

R,2,5.2,1.05,3.98,15,1129205201,sim

R,1,4.78,1,1,15,1129205201,sim

R,2,4.76,0.92,4.12,15,1129205201,sim

R,1,5.41,0.15,1.52,15,1129205202,sim

R,2,4.32,0.79,4.26,15,1129205202,sim

R,1,6.04,-0.7,2.04,15,1129205202,sim

R,2,3.88,0.66,4.4,15,1129205202,sim

R,1,6.67,0.15,2.56,15,1129205203,sim

R,2,3.44,0.53,4.54,15,1129205203,sim

R,1,7.3,1,3.08,15,1129205203,sim

R,2,3,0.4,4.68,15,1129205203,sim

R,1,7.93,1.85,3.6,15,1129205204,sim

R,2,2.56,0.27,4.82,15,1129205204,sim

R,1,8.56,2.7,4.12,15,1129205204,sim

R,2,2.12,0.14,4.96,15,1129205204,sim

R,1,9.19,3.55,4.64,15,1129205205,sim

R,2,1.68,0.01,5.1,15,1129205205,sim

R,1,8.56,4.4,5.16,15,1129205205,sim

R,2,1.24,-0.12,5.24,15,1129205205,sim

R,1,7.93,5.25,5.68,15,1129205206,sim

R,2,0.8,0.01,5.38,15,1129205206,sim

R,1,7.3,6.1,6.2,15,1129205206,sim

R,2,0.36,0.14,5.52,15,1129205206,sim

R,1,6.67,6.95,5.68,15,1129205207,sim

R,2,-0.08,0.27,5.66,15,1129205207,sim

R,1,6.04,7.8,5.16,15,1129205207,sim

R,2,0.36,0.4,5.8,15,1129205207,sim

R,1,5.41,8.65,4.64,15,1129205208,sim

R,2,0.8,0.53,5.94,15,1129205208,sim

R,1,4.78,9.5,4.12,15,1129205208,sim

R,2,1.24,0.66,6.08,15,1129205208,sim

R,1,4.15,10.35,3.6,15,1129205209,sim

R,2,1.68,0.79,5.94,15,1129205209,sim

R,1,3.52,11.2,3.08,15,1129205209,sim

R,2,2.12,0.92,5.8,15,1129205209,sim

R,1,2.89,10.35,2.56,15,1129205210,sim

R,2,2.56,1.05,5.66,15,1129205210,sim

R,1,2.26,9.5,2.04,15,1129205210,sim

R,2,3,1.18,5.52,15,1129205210,sim

R,1,1.63,8.65,1.52,15,1129205211,sim

R,2,3.44,1.31,5.38,15,1129205211,sim

R,1,1,7.8,1,15,1129205211,sim

R,2,3.88,1.44,5.24,15,1129205211,sim

R,1,0.37,6.95,0.48,15,1129205212,sim

R,2,4.32,1.57,5.1,15,1129205212,sim

R,1,-0.26,6.1,-0.04,15,1129205212,sim

R,2,4.76,1.7,4.96,15,1129205212,sim

R,1,0.37,5.25,0.48,15,1129205213,sim

R,2,5.2,1.83,4.82,15,1129205213,sim

R,1,1,4.4,1,15,1129205213,sim

R,2,5.64,1.96,4.68,15,1129205213,sim

R,1,1.63,3.55,1.52,15,1129205214,sim

R,2,6.08,2.09,4.54,15,1129205214,sim

R,1,2.26,2.7,2.04,15,1129205214,sim

R,2,6.52,2.22,4.4,15,1129205214,sim

R,1,2.89,1.85,2.56,15,1129205215,sim

R,2,6.96,2.35,4.26,15,1129205215,sim

R,1,3.52,1,3.08,15,1129205215,sim

R,2,7.4,2.48,4.12,15,1129205215,sim

R,1,4.15,0.15,3.6,15,1129205216,sim

R,2,7.84,2.61,3.98,15,1129205216,sim

R,1,4.78,-0.7,4.12,15,1129205216,sim

R,2,8.28,2.74,3.84,15,1129205216,sim

R,1,5.41,0.15,4.64,15,1129205217,sim

R,2,8.72,2.87,3.7,15,1129205217,sim

R,1,6.04,1,5.16,15,1129205217,sim

R,2,9.16,3,3.56,15,1129205217,sim

R,1,6.67,1.85,5.68,15,1129205218,sim

R,2,8.72,3.13,3.42,15,1129205218,sim

R,1,7.3,2.7,6.2,15,1129205218,sim

R,2,8.28,3.26,3.28,15,1129205218,sim

R,1,7.93,3.55,5.68,15,1129205219,sim

R,2,7.84,3.39,3.14,15,1129205219,sim

R,1,8.56,4.4,5.16,15,1129205219,sim

R,2,7.4,3.52,3,15,1129205219,sim

R,1,9.19,5.25,4.64,15,1129205220,sim

R,2,6.96,3.65,2.86,15,1129205220,sim

R,1,8.56,6.1,4.12,15,1129205220,sim

R,2,6.52,3.78,2.72,15,1129205220,sim

R,1,7.93,6.95,3.6,15,1129205221,sim

R,2,6.08,3.91,2.58,15,1129205221,sim

R,1,7.3,7.8,3.08,15,1129205221,sim

R,2,5.64,4.04,2.44,15,1129205221,sim

R,1,6.67,8.65,2.56,15,1129205222,sim

R,2,5.2,4.17,2.3,15,1129205222,sim

R,1,6.04,9.5,2.04,15,1129205222,sim

R,2,4.76,4.3,2.16,15,1129205222,sim

R,1,5.41,10.35,1.52,15,1129205223,sim

R,2,4.32,4.43,2.02,15,1129205223,sim

R,1,4.78,11.2,1,15,1129205223,sim

R,2,3.88,4.56,1.88,15,1129205223,sim

R,1,4.15,10.35,0.48,15,1129205224,sim

R,2,3.44,4.69,1.74,15,1129205224,sim

R,1,3.52,9.5,-0.04,15,1129205224,sim

R,2,3,4.82,1.6,15,1129205224,sim

R,1,2.89,8.65,0.48,15,1129205225,sim

R,2,2.56,4.95,1.46,15,1129205225,sim

R,1,2.26,7.8,1,15,1129205225,sim

R,2,2.12,5.08,1.32,15,1129205225,sim

R,1,1.63,6.95,1.52,15,1129205226,sim

